[04-15 08:35:05][   INFO]: no Detection element in vid 24059
[04-15 08:35:05][   INFO]: no Detection element in vid 24060
[04-15 08:35:05][   INFO]: no Detection element in vid 24062
[04-15 08:35:05][   INFO]: no Detection element in vid 24063
[04-15 08:35:05][   INFO]: no Detection element in vid 24066
[04-15 08:35:05][   INFO]: no Detection element in vid 24067
[04-15 08:35:05][   INFO]: no Detection element in vid 24068
[04-15 08:35:05][   INFO]: no Detection element in vid 24069
[04-15 08:35:05][   INFO]: no Detection element in vid 24070
[04-15 08:35:05][   INFO]: no Detection element in vid 24071
[04-15 08:35:05][   INFO]: no Detection element in vid 24072
[04-15 08:35:05][   INFO]: no Detection element in vid 24075
[04-15 08:35:05][   INFO]: no Detection element in vid 24076
[04-15 08:35:05][   INFO]: no Detection element in vid 24077
[04-15 08:35:05][   INFO]: no Detection element in vid 24078
[04-15 08:35:05][   INFO]: no Detection element in vid 24080
[04-15 08:35:05][   INFO]: no Detection element in vid 24081
[04-15 08:35:05][   INFO]: no Detection element in vid 24084
[04-15 08:35:05][   INFO]: no Detection element in vid 24085
[04-15 08:35:05][   INFO]: no Detection element in vid 24087
[04-15 08:35:05][   INFO]: no Detection element in vid 24090
[04-15 08:35:05][   INFO]: no Detection element in vid 24091
[04-15 08:35:05][   INFO]: no Detection element in vid 24092
[04-15 08:35:05][   INFO]: no Detection element in vid 24095
[04-15 08:35:05][   INFO]: no Detection element in vid 24096
[04-15 08:35:05][   INFO]: no Detection element in vid 24099
[04-15 08:35:05][   INFO]: no Detection element in vid 24101
[04-15 08:35:05][   INFO]: no Detection element in vid 24103
[04-15 08:35:05][   INFO]: no Detection element in vid 24104
[04-15 08:35:05][   INFO]: no Detection element in vid 24105
[04-15 08:35:05][   INFO]: no Detection element in vid 24107
[04-15 08:35:05][   INFO]: no Detection element in vid 24109
[04-15 08:35:05][   INFO]: no Detection element in vid 24110
[04-15 08:35:05][   INFO]: no Detection element in vid 24111
[04-15 08:35:05][   INFO]: no Detection element in vid 24112
[04-15 08:35:05][   INFO]: no Detection element in vid 24113
[04-15 08:35:05][   INFO]: no Detection element in vid 24114
[04-15 08:35:05][   INFO]: no Detection element in vid 24115
[04-15 08:35:05][   INFO]: no Detection element in vid 24117
[04-15 08:35:05][   INFO]: no Detection element in vid 24118
[04-15 08:35:05][   INFO]: no Detection element in vid 24119
[04-15 08:35:05][   INFO]: no Detection element in vid 24120
[04-15 08:35:05][   INFO]: no Detection element in vid 24121
[04-15 08:35:05][   INFO]: no Detection element in vid 24122
[04-15 08:35:05][   INFO]: no Detection element in vid 24123
[04-15 08:35:05][   INFO]: no Detection element in vid 24124
[04-15 08:35:05][   INFO]: no Detection element in vid 24125
[04-15 08:35:05][   INFO]: no Detection element in vid 24127
[04-15 08:35:05][   INFO]: no Detection element in vid 24128
[04-15 08:35:05][   INFO]: no Detection element in vid 24131
[04-15 08:35:05][   INFO]: no Detection element in vid 24132
[04-15 08:35:05][   INFO]: no Detection element in vid 24133
[04-15 08:35:05][   INFO]: no Detection element in vid 24134
[04-15 08:35:05][   INFO]: no Detection element in vid 24135
[04-15 08:35:05][   INFO]: no Detection element in vid 24136
[04-15 08:35:05][   INFO]: no Detection element in vid 24138
[04-15 08:35:05][   INFO]: no Detection element in vid 24140
[04-15 08:35:05][   INFO]: no Detection element in vid 24141
[04-15 08:35:05][   INFO]: no Detection element in vid 24142
[04-15 08:35:05][   INFO]: no Detection element in vid 24144
[04-15 08:35:05][   INFO]: no Detection element in vid 24145
[04-15 08:35:05][   INFO]: no Detection element in vid 24150
[04-15 08:35:05][   INFO]: no Detection element in vid 24152
[04-15 08:35:05][   INFO]: no Detection element in vid 24154
[04-15 08:35:05][   INFO]: no Detection element in vid 24157
[04-15 08:35:05][   INFO]: no Detection element in vid 24159
[04-15 08:35:05][   INFO]: no Detection element in vid 24160
[04-15 08:35:05][   INFO]: no Detection element in vid 24161
[04-15 08:35:05][   INFO]: no Detection element in vid 24162
[04-15 08:35:05][   INFO]: no Detection element in vid 24163
[04-15 08:35:05][   INFO]: no Detection element in vid 24164
[04-15 08:35:05][   INFO]: no Detection element in vid 24165
[04-15 08:35:05][   INFO]: no Detection element in vid 24168
[04-15 08:35:05][   INFO]: no Detection element in vid 24170
[04-15 08:35:05][   INFO]: no Detection element in vid 24172
[04-15 08:35:05][   INFO]: no Detection element in vid 24173
[04-15 08:35:05][   INFO]: no Detection element in vid 24174
[04-15 08:35:05][   INFO]: no Detection element in vid 24175
[04-15 08:35:05][   INFO]: no Detection element in vid 24176
[04-15 08:35:05][   INFO]: no Detection element in vid 24177
[04-15 08:35:05][   INFO]: no Detection element in vid 24178
[04-15 08:35:05][   INFO]: no Detection element in vid 24179
[04-15 08:35:05][   INFO]: no Detection element in vid 24180
[04-15 08:35:05][   INFO]: no Detection element in vid 24181
[04-15 08:35:05][   INFO]: no Detection element in vid 24182
[04-15 08:35:05][   INFO]: no Detection element in vid 24184
[04-15 08:35:05][   INFO]: no Detection element in vid 24185
[04-15 08:35:05][   INFO]: no Detection element in vid 24190
[04-15 08:35:05][   INFO]: no Detection element in vid 24191
[04-15 08:35:05][   INFO]: no Detection element in vid 24193
[04-15 08:35:05][   INFO]: no Detection element in vid 24194
[04-15 08:35:05][   INFO]: no Detection element in vid 24195
[04-15 08:35:05][   INFO]: no Detection element in vid 24196
[04-15 08:35:05][   INFO]: no Detection element in vid 24198
[04-15 08:35:05][   INFO]: no Detection element in vid 24199
[04-15 08:35:05][   INFO]: no Detection element in vid 24203
[04-15 08:35:05][   INFO]: no Detection element in vid 24205
[04-15 08:35:05][   INFO]: no Detection element in vid 24206
[04-15 08:35:05][   INFO]: no Detection element in vid 24207
[04-15 08:35:05][   INFO]: no Detection element in vid 24208
[04-15 08:35:05][   INFO]: no Detection element in vid 24209
[04-15 08:35:05][   INFO]: no Detection element in vid 24210
[04-15 08:35:05][   INFO]: no Detection element in vid 24211
[04-15 08:35:05][   INFO]: no Detection element in vid 24923
[04-15 08:35:05][   INFO]: no Detection element in vid 24924
[04-15 08:35:05][   INFO]: no Detection element in vid 24925
[04-15 08:35:05][   INFO]: no Detection element in vid 24926
[04-15 08:35:05][   INFO]: no Detection element in vid 24928
[04-15 08:35:05][   INFO]: no Detection element in vid 24930
[04-15 08:35:05][   INFO]: no Detection element in vid 24931
[04-15 08:35:05][   INFO]: no Detection element in vid 24932
[04-15 08:35:05][   INFO]: no Detection element in vid 25906
[04-15 08:35:05][   INFO]: no Detection element in vid 25907
[04-15 08:35:05][   INFO]: no Detection element in vid 25909
[04-15 08:35:05][   INFO]: no Detection element in vid 25910
[04-15 08:35:05][   INFO]: no Detection element in vid 25911
[04-15 08:35:05][   INFO]: no Detection element in vid 25913
[04-15 08:35:05][   INFO]: no Detection element in vid 25914
[04-15 08:35:05][   INFO]: no Detection element in vid 25915
[04-15 08:35:05][   INFO]: no Detection element in vid 25916
[04-15 08:35:05][   INFO]: no Detection element in vid 25918
[04-15 08:35:05][   INFO]: no Detection element in vid 25919
[04-15 08:35:05][   INFO]: no Detection element in vid 26248
[04-15 08:35:05][   INFO]: no Detection element in vid 26249
[04-15 08:35:05][   INFO]: no Detection element in vid 26250
[04-15 08:35:05][   INFO]: no Detection element in vid 26251
[04-15 08:35:05][   INFO]: no Detection element in vid 26253
[04-15 08:35:05][   INFO]: no Detection element in vid 26254
[04-15 08:35:05][   INFO]: no Detection element in vid 26255
[04-15 08:35:05][   INFO]: no Detection element in vid 26256
[04-15 08:35:05][   INFO]: no Detection element in vid 26261
[04-15 08:35:05][   INFO]: no Detection element in vid 26283
[04-15 08:35:05][   INFO]: no Detection element in vid 26284
[04-15 08:35:05][   INFO]: no Detection element in vid 26285
[04-15 08:35:05][   INFO]: no Detection element in vid 26287
[04-15 08:35:05][   INFO]: no Detection element in vid 26288
[04-15 08:35:05][   INFO]: no Detection element in vid 26289
[04-15 08:35:05][   INFO]: no Detection element in vid 26291
[04-15 08:35:05][   INFO]: no Detection element in vid 31216
[04-15 08:35:05][   INFO]: no Detection element in vid 31217
[04-15 08:35:05][   INFO]: no Detection element in vid 31218
[04-15 08:35:05][   INFO]: no Detection element in vid 31219
[04-15 08:35:05][   INFO]: no Detection element in vid 31220
[04-15 08:35:05][   INFO]: no Detection element in vid 31221
[04-15 08:35:05][   INFO]: no Detection element in vid 31222
[04-15 08:35:05][   INFO]: no Detection element in vid 31223
[04-15 08:35:05][   INFO]: no Detection element in vid 31599
[04-15 08:35:05][   INFO]: no Detection element in vid 31601
[04-15 08:35:05][   INFO]: no Detection element in vid 31602
[04-15 08:35:05][   INFO]: no Detection element in vid 31603
[04-15 08:35:05][   INFO]: no Detection element in vid 31604
[04-15 08:35:05][   INFO]: no Detection element in vid 31605
[04-15 08:35:05][   INFO]: no Detection element in vid 31606
[04-15 08:35:05][   INFO]: no Detection element in vid 31608
[04-15 08:35:06][   INFO]: no Detection element in vid 31661
[04-15 08:35:06][   INFO]: no Detection element in vid 31663
[04-15 08:35:06][   INFO]: no Detection element in vid 31664
[04-15 08:35:06][   INFO]: no Detection element in vid 31665
[04-15 08:35:06][   INFO]: no Detection element in vid 31666
[04-15 08:35:06][   INFO]: no Detection element in vid 31667
[04-15 08:35:06][   INFO]: no Detection element in vid 31669
[04-15 08:35:06][   INFO]: no Detection element in vid 31803
[04-15 08:35:06][   INFO]: no Detection element in vid 31807
[04-15 08:35:06][   INFO]: no Detection element in vid 31813
[04-15 08:35:06][   INFO]: no Detection element in vid 31861
[04-15 08:35:06][   INFO]: no Detection element in vid 31862
[04-15 08:35:06][   INFO]: no Detection element in vid 31863
[04-15 08:35:06][   INFO]: no Detection element in vid 31864
[04-15 08:35:06][   INFO]: no Detection element in vid 31865
[04-15 08:35:06][   INFO]: no Detection element in vid 31866
[04-15 08:35:06][   INFO]: no Detection element in vid 31867
[04-15 08:35:06][   INFO]: no Detection element in vid 31868
[04-15 08:35:06][   INFO]: no Detection element in vid 31869
[04-15 08:35:06][   INFO]: no Detection element in vid 31870
[04-15 08:35:06][   INFO]: no Detection element in vid 31871
[04-15 08:35:06][   INFO]: no Detection element in vid 31941
[04-15 08:35:06][   INFO]: no Detection element in vid 35485
[04-15 08:35:06][   INFO]: no Detection element in vid 35514
[04-15 08:35:06][   INFO]: no Detection element in vid 35527
[04-15 08:35:06][   INFO]: no Detection element in vid 35531
[04-15 08:35:06][   INFO]: no Detection element in vid 35535
[04-15 08:35:06][   INFO]: no Detection element in vid 35601
[04-15 08:35:06][   INFO]: no Detection element in vid 35718
[04-15 08:35:06][   INFO]: no Detection element in vid 35719
[04-15 08:35:06][   INFO]: no Detection element in vid 35724
[04-15 08:35:06][   INFO]: no Detection element in vid 35736
[04-15 08:35:06][   INFO]: no Detection element in vid 35742
[04-15 08:35:06][   INFO]: no Detection element in vid 35748
[04-15 08:35:06][   INFO]: no Detection element in vid 35929
[04-15 08:35:06][   INFO]: no Detection element in vid 35947
[04-15 08:35:06][   INFO]: no Detection element in vid 35952
[04-15 08:35:06][   INFO]: no Detection element in vid 35954
[04-15 08:35:06][   INFO]: no Detection element in vid 35955
[04-15 08:35:06][   INFO]: no Detection element in vid 35959
[04-15 08:35:06][   INFO]: no Detection element in vid 35960
[04-15 08:35:06][   INFO]: no Detection element in vid 36257
[04-15 08:35:06][   INFO]: no Detection element in vid 36259
[04-15 08:35:06][   INFO]: no Detection element in vid 36260
[04-15 08:35:06][   INFO]: no Detection element in vid 36284
[04-15 08:35:06][   INFO]: no Detection element in vid 36333
[04-15 08:35:07][   INFO]: no Detection element in vid 36541
[04-15 08:35:07][   INFO]: no Detection element in vid 36544
[04-15 08:35:07][   INFO]: no Detection element in vid 36545
[04-15 08:35:07][   INFO]: no Detection element in vid 36546
[04-15 08:35:07][   INFO]: no Detection element in vid 36547
[04-15 08:35:07][   INFO]: no Detection element in vid 36550
[04-15 08:35:07][   INFO]: no Detection element in vid 36551
[04-15 08:35:07][   INFO]: no Detection element in vid 36552
[04-15 08:35:07][   INFO]: no Detection element in vid 36568
[04-15 08:35:07][   INFO]: no Detection element in vid 36569
[04-15 08:35:07][   INFO]: no Detection element in vid 36570
[04-15 08:35:07][   INFO]: no Detection element in vid 36575
[04-15 08:35:07][   INFO]: no Detection element in vid 36576
[04-15 08:35:07][   INFO]: no Detection element in vid 36577
[04-15 08:35:07][   INFO]: no Detection element in vid 36578
[04-15 08:35:07][   INFO]: no Detection element in vid 36585
[04-15 08:35:07][   INFO]: no Detection element in vid 36609
[04-15 08:35:07][   INFO]: no Detection element in vid 36610
[04-15 08:35:07][   INFO]: no Detection element in vid 36628
[04-15 08:35:07][   INFO]: no Detection element in vid 36634
[04-15 08:35:07][   INFO]: no Detection element in vid 36670
[04-15 08:35:07][   INFO]: no Detection element in vid 36672
[04-15 08:35:07][   INFO]: no Detection element in vid 36722
[04-15 08:35:07][   INFO]: no Detection element in vid 36738
[04-15 08:35:07][   INFO]: no Detection element in vid 36740
[04-15 08:35:07][   INFO]: no Detection element in vid 36754
[04-15 08:35:07][   INFO]: no Detection element in vid 36755
[04-15 08:35:07][   INFO]: no Detection element in vid 36756
[04-15 08:35:07][   INFO]: no Detection element in vid 36757
[04-15 08:35:07][   INFO]: no Detection element in vid 36758
[04-15 08:35:07][   INFO]: no Detection element in vid 36762
[04-15 08:35:07][   INFO]: no Detection element in vid 36763
[04-15 08:35:07][   INFO]: no Detection element in vid 36765
[04-15 08:35:07][   INFO]: no Detection element in vid 36766
[04-15 08:35:07][   INFO]: no Detection element in vid 36776
[04-15 08:35:07][   INFO]: no Detection element in vid 41066
[04-15 08:35:07][   INFO]: no Detection element in vid 41067
[04-15 08:35:07][   INFO]: no Detection element in vid 41072
[04-15 08:35:07][   INFO]: no Detection element in vid 41073
[04-15 08:35:07][   INFO]: no Detection element in vid 41075
[04-15 08:35:07][   INFO]: no Detection element in vid 41077
[04-15 08:35:07][   INFO]: no Detection element in vid 41087
[04-15 08:35:07][   INFO]: no Detection element in vid 41089
[04-15 08:35:07][   INFO]: no Detection element in vid 41101
[04-15 08:35:07][   INFO]: no Detection element in vid 41104
[04-15 08:35:07][   INFO]: no Detection element in vid 41159
[04-15 08:35:07][   INFO]: no Detection element in vid 41161
[04-15 08:35:07][   INFO]: no Detection element in vid 41167
[04-15 08:35:07][   INFO]: no Detection element in vid 41168
[04-15 08:35:07][   INFO]: no Detection element in vid 41169
[04-15 08:35:07][   INFO]: no Detection element in vid 41170
[04-15 08:35:07][   INFO]: no Detection element in vid 41173
[04-15 08:35:07][   INFO]: no Detection element in vid 41174
[04-15 08:35:07][   INFO]: no Detection element in vid 41176
[04-15 08:35:07][   INFO]: no Detection element in vid 41185
[04-15 08:35:07][   INFO]: no Detection element in vid 41447
[04-15 08:35:07][   INFO]: no Detection element in vid 41448
[04-15 08:35:07][   INFO]: no Detection element in vid 41449
[04-15 08:35:07][   INFO]: no Detection element in vid 41452
[04-15 08:35:07][   INFO]: no Detection element in vid 41460
[04-15 08:35:07][   INFO]: no Detection element in vid 41463
[04-15 08:35:07][   INFO]: no Detection element in vid 41464
[04-15 08:35:07][   INFO]: no Detection element in vid 41465
[04-15 08:35:07][   INFO]: no Detection element in vid 41466
[04-15 08:35:07][   INFO]: no Detection element in vid 41468
[04-15 08:35:07][   INFO]: no Detection element in vid 41469
[04-15 08:35:07][   INFO]: no Detection element in vid 41470
[04-15 08:35:07][   INFO]: no Detection element in vid 41471
[04-15 08:35:07][   INFO]: no Detection element in vid 41472
[04-15 08:35:07][   INFO]: no Detection element in vid 41660
[04-15 08:35:07][   INFO]: no Detection element in vid 43392
[04-15 08:35:07][   INFO]: no Detection element in vid 43393
[04-15 08:35:07][   INFO]: no Detection element in vid 43394
[04-15 08:35:07][   INFO]: no Detection element in vid 43395
[04-15 08:35:07][   INFO]: no Detection element in vid 43396
[04-15 08:35:07][   INFO]: no Detection element in vid 43404
[04-15 08:35:07][   INFO]: no Detection element in vid 43405
[04-15 08:35:07][   INFO]: no Detection element in vid 43406
[04-15 08:35:07][   INFO]: no Detection element in vid 43407
[04-15 08:35:07][   INFO]: no Detection element in vid 48664
[04-15 08:35:07][   INFO]: no Detection element in vid 48678
[04-15 08:35:07][   INFO]: no Detection element in vid 48679
[04-15 08:35:07][   INFO]: no Detection element in vid 48681
[04-15 08:35:07][   INFO]: no Detection element in vid 48682
[04-15 08:35:07][   INFO]: no Detection element in vid 48684
[04-15 08:35:07][   INFO]: no Detection element in vid 48685
[04-15 08:35:07][   INFO]: no Detection element in vid 48686
[04-15 08:35:07][   INFO]: no Detection element in vid 48697
[04-15 08:35:07][   INFO]: no Detection element in vid 48698
[04-15 08:35:07][   INFO]: no Detection element in vid 48699
[04-15 08:35:07][   INFO]: no Detection element in vid 48700
[04-15 08:35:07][   INFO]: no Detection element in vid 48727
[04-15 08:35:07][   INFO]: no Detection element in vid 48729
[04-15 08:35:07][   INFO]: no Detection element in vid 48730
[04-15 08:35:07][   INFO]: no Detection element in vid 49262
[04-15 08:35:07][   INFO]: no Detection element in vid 49275
[04-15 08:35:07][   INFO]: no Detection element in vid 49412
[04-15 08:35:07][   INFO]: no Detection element in vid 50015
[04-15 08:35:07][   INFO]: no Detection element in vid 50149
[04-15 08:35:07][   INFO]: no Detection element in vid 50179
[04-15 08:35:07][   INFO]: no Detection element in vid 50180
[04-15 08:35:07][   INFO]: no Detection element in vid 50188
[04-15 08:35:07][   INFO]: no Detection element in vid 50491
[04-15 08:35:07][   INFO]: no Detection element in vid 50535
[04-15 08:35:07][   INFO]: no Detection element in vid 51549
[04-15 08:35:07][   INFO]: no Detection element in vid 51598
[04-15 08:35:07][   INFO]: no Detection element in vid 51670
[04-15 08:35:07][   INFO]: no Detection element in vid 55619
[04-15 08:35:07][   INFO]: no Detection element in vid 55620
[04-15 08:35:07][   INFO]: no Detection element in vid 55622
[04-15 08:35:07][   INFO]: no Detection element in vid 55624
[04-15 08:35:07][   INFO]: no Detection element in vid 55637
[04-15 08:35:07][   INFO]: no Detection element in vid 55873
[04-15 08:35:07][   INFO]: no Detection element in vid 56014
[04-15 08:35:07][   INFO]: no Detection element in vid 56015
[04-15 08:35:07][   INFO]: no Detection element in vid 56033
[04-15 08:35:07][   INFO]: no Detection element in vid 56037
[04-15 08:35:07][   INFO]: no Detection element in vid 56058
[04-15 08:35:07][   INFO]: no Detection element in vid 56066
[04-15 08:35:07][   INFO]: no Detection element in vid 56379
[04-15 08:35:07][   INFO]: no Detection element in vid 56393
[04-15 08:35:07][   INFO]: no Detection element in vid 57572
[04-15 08:35:07][   INFO]: no Detection element in vid 58165
[04-15 08:35:07][   INFO]: no Detection element in vid 58169
[04-15 08:35:07][   INFO]: no Detection element in vid 58777
[04-15 08:35:07][   INFO]: no Detection element in vid 59288
[04-15 08:35:07][   INFO]: no Detection element in vid 59292
[04-15 08:35:07][   INFO]: no Detection element in vid 59308
[04-15 08:35:07][   INFO]: no Detection element in vid 60469
[04-15 08:35:08][   INFO]: no Detection element in vid 62430
[04-15 08:35:08][   INFO]: no Detection element in vid 62432
[04-15 08:35:08][   INFO]: no Detection element in vid 62441
[04-15 08:35:08][   INFO]: no Detection element in vid 62963
[04-15 08:35:08][   INFO]: no Detection element in vid 63221
[04-15 08:35:08][   INFO]: no Detection element in vid 63229
[04-15 08:35:08][   INFO]: no Detection element in vid 63263
[04-15 08:35:08][   INFO]: no Detection element in vid 63669
[04-15 08:35:08][   INFO]: no Detection element in vid 64037
[04-15 08:35:08][   INFO]: no Detection element in vid 64039
[04-15 08:35:08][   INFO]: no Detection element in vid 64068
[04-15 08:35:08][   INFO]: no Detection element in vid 64184
[04-15 08:35:08][   INFO]: no Detection element in vid 64277
[04-15 08:35:08][   INFO]: no Detection element in vid 64687
[04-15 08:35:08][   INFO]: no Detection element in vid 64696
[04-15 08:35:08][   INFO]: no Detection element in vid 64707
[04-15 08:35:08][   INFO]: no Detection element in vid 64736
[04-15 08:35:08][   INFO]: no Detection element in vid 64740
[04-15 08:35:08][   INFO]: no Detection element in vid 64791
[04-15 08:35:08][   INFO]: no Detection element in vid 64792
[04-15 08:35:08][   INFO]: no Detection element in vid 64793
[04-15 08:35:08][   INFO]: no Detection element in vid 64794
[04-15 08:35:08][   INFO]: no Detection element in vid 64795
[04-15 08:35:08][   INFO]: no Detection element in vid 64796
[04-15 08:35:08][   INFO]: no Detection element in vid 64797
[04-15 08:35:08][   INFO]: no Detection element in vid 64798
[04-15 08:35:08][   INFO]: no Detection element in vid 64799
[04-15 08:35:08][   INFO]: no Detection element in vid 64894
[04-15 08:35:08][   INFO]: no Detection element in vid 64901
[04-15 08:35:08][   INFO]: no Detection element in vid 64904
[04-15 08:35:08][   INFO]: no Detection element in vid 64905
[04-15 08:35:08][   INFO]: no Detection element in vid 65021
[04-15 08:35:08][   INFO]: no Detection element in vid 65022
[04-15 08:35:08][   INFO]: no Detection element in vid 65026
[04-15 08:35:08][   INFO]: no Detection element in vid 65034
[04-15 08:35:08][   INFO]: no Detection element in vid 65561
[04-15 08:35:08][   INFO]: no Detection element in vid 65562
[04-15 08:35:08][   INFO]: no Detection element in vid 65572
[04-15 08:35:08][   INFO]: no Detection element in vid 65573
[04-15 08:35:08][   INFO]: no Detection element in vid 65609
[04-15 08:35:08][   INFO]: no Detection element in vid 65610
[04-15 08:35:08][   INFO]: no Detection element in vid 65903
[04-15 08:35:08][   INFO]: no Detection element in vid 65914
[04-15 08:35:08][   INFO]: no Detection element in vid 65928
